request_index,url,status_code,success,error_message,api_request_response_ms,backend_latency_ms,timingMs.total_backend,timingMs.feature_extraction,timingMs.brand_analysis,timingMs.histgb_inference,timingMs.url_transformer_inference,timingMs.decision_fusion
72,https://garanti-guvenli.com/login,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""215a99b7-9b66-480f-a19c-d30e81db8117""}",2.2884,,,,,,,
73,https://turkiye-gov-tr.com/basvuru,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""ef2566ae-fab5-4df2-b8af-6a55580d8ab2""}",13.1982,,,,,,,
74,https://edevlet-basvuru.net/login,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""15540a12-999d-4753-9b85-8f96d1b8b698""}",2.0923,,,,,,,
75,https://enabiz-sonuc.com,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""c63eecda-663d-47f3-8a64-79bbaca34985""}",2.5392,,,,,,,
76,https://mhrs-randevu.org,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""c257ef95-1cae-4158-b2c6-1cde4ca19257""}",22.4798,,,,,,,
77,https://ptt-kargo-takip.net,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""2398243e-6888-4a95-a369-c1b3e1f8e184""}",17.2013,,,,,,,
78,https://trendyol-iade-formu.com,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""af11a550-cec2-4520-a4ec-1143f3c64e0f""}",2.6843,,,,,,,
79,https://vakifbank-dogrulama.com,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""c9657fa6-05b6-4250-aa99-c29950e989c9""}",2.99,,,,,,,
80,https://webtapu-randevu.com,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""8be1d652-72b5-4611-ad26-3451d4cac857""}",24.9542,,,,,,,
81,https://ktun.edu.tr,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""8af86a0f-3c04-43db-881f-437e0f13c9b5""}",2.5628,,,,,,,
